46255,23993,0,0,1,0
4506,23993,0,0,1,0
3280,23993,0,0,1,0
1637,23993,0,0,1,0
243882,23993,0,0,1,0
4460,23993,0,0,1,0
137094,1338,1,0,0,0
262990,2997,0,0,1,0
262990,5187,1,0,0,0
263018,2997,0,0,1,0
4435,863,1,0,0,0
263343,161,1,0,1,0
45648,23993,0,0,1,0
46131,112,0,0,1,0
29132,23993,0,0,1,0
44878,49250,1,0,1,0
263446,250,1,0,1,0
43406,1215,0,0,1,0
263686,5187,1,0,0,0
263687,5187,1,0,0,0
263888,227,0,0,1,0
263768,49300,1,0,1,0
263928,5191,0,1,1,0
263936,49305,1,0,1,0
15233,17711,1,0,1,0
264071,112,0,0,1,0
219366,49318,1,0,0,0
264098,49348,1,0,1,0
264094,38055,1,0,1,0
264222,22156,1,0,1,0
264236,6346,1,0,1,0
264256,61,1,0,1,0
264310,3838,1,0,0,0
49899,66,0,0,1,0
264415,14129,1,0,1,0
264809,13696,1,0,1,0
91474,17044,1,0,1,0
249103,95,0,0,1,0
264853,218,0,0,1,0
264853,72,1,0,0,0
264854,327,0,0,1,0
264869,1923,1,0,0,0
264870,66,0,0,1,0
264872,579,1,0,0,0
264876,1396,1,0,1,0
264881,592,0,0,1,0
5347,197,0,0,1,0
264994,32679,0,0,1,0
265006,321,0,1,0,0
265011,341,0,0,1,0
265013,339,1,0,0,0
48707,4502,0,0,1,0
191663,1218,0,0,1,0
136342,438,1,0,0,0
265638,39618,1,0,1,0
18617,17160,1,0,0,0
94668,26598,0,0,1,0
266198,712,1,0,0,0
191733,1753,1,0,1,0
67836,25077,1,0,0,0
71306,818,0,0,1,0
50039,70,0,0,1,0
266229,49592,1,0,1,0
47892,1316,1,0,0,0
266362,26425,1,0,0,0
113585,14126,1,0,0,0
201745,129,1,0,1,0
266679,70,0,0,1,0
266660,129,1,0,0,0
266944,1339,0,0,1,0
266945,1339,0,0,1,0
266945,2918,1,0,0,0
6100,2918,1,0,1,0
75452,13786,1,0,0,0
79528,817,1,0,1,0
15223,27604,0,1,0,0
267307,126,1,0,0,0
64901,10575,1,0,0,0
267376,46657,0,0,1,0
267510,10575,1,0,0,0
267544,5826,1,0,1,0
267607,49736,1,0,1,0
267588,2611,0,0,1,0
223021,49749,1,0,1,0
267903,49760,1,0,1,0
267912,49760,1,0,1,0
267980,49769,1,0,1,0
268009,26263,0,0,1,0
268052,836,0,0,1,0
268347,25088,1,0,1,0
268357,49827,1,0,1,0
268503,44998,1,0,1,0
65214,39677,0,0,1,0
268672,49876,1,0,1,0
268685,42435,1,0,1,0
268772,1217,0,0,1,0
66923,11590,1,0,1,0
268862,14321,1,0,0,0
268901,14140,0,0,1,0
2387,118,1,0,0,0
269412,3703,0,0,1,0
