8246,0,0,0,0,1,0,0,0,0,2,82419,49
9587,1,0,1,1,1,1,4,4,8,8,109462,130
8437,0,0,0,0,1,0,0,0,0,4,83776,49
8440,0,0,0,1,0,0,0,0,0,0,83774,49
7973,0,0,0,0,0,0,0,2,0,2,56891,49
9990,0,0,0,0,0,0,,,,,47827,20
10975,0,1,0,1,0,1,2,2,0,0,2670,8
11467,0,0,0,0,0,1,,2,,,43382,
11710,0,0,0,0,0,0,,,,,138908,7
9968,0,0,0,0,0,0,,2,,,126468,
551,0,1,1,0,1,0,0,0,4,0,19256,38
605,0,0,0,0,1,0,0,0,5,0,7459,9
642,0,1,1,0,1,0,0,0,4,0,18373,38
10977,0,0,0,0,0,1,,2,,,1601,8
684,1,1,1,0,1,0,0,0,4,0,6806,37
1904,0,0,0,1,0,0,2,0,0,0,7111,12
651,0,1,0,1,0,0,2,0,0,0,7412,11
699,0,1,0,1,1,0,4,0,4,0,3002,9
707,0,0,0,1,1,1,2,0,2,0,18230,9
661,0,0,0,0,1,0,0,0,4,0,5485,12
1907,1,1,0,1,0,0,2,0,0,0,1190,12
11464,0,0,0,0,0,0,,4,,2,65112,4
784,0,1,0,1,0,0,4,0,0,0,23396,9
849,0,1,0,1,0,0,2,0,0,0,19648,5
751,0,0,0,1,0,0,4,0,0,0,6651,12
800,0,1,0,1,0,1,4,0,0,0,23667,5
11472,1,0,0,0,0,0,,2,,2,58169,23
10562,0,0,0,0,0,0,,2,,,48274,18
927,0,0,0,1,0,0,2,0,0,0,7467,9
967,0,1,1,1,1,1,2,0,2,0,6834,9
2032,0,1,0,1,0,1,2,0,0,0,7243,8
11349,0,0,0,1,0,0,2,1,,,20610,20
7104,1,0,1,0,1,0,0,0,4,0,6440,37
11605,0,1,0,1,0,0,2,2,,,137325,48
935,0,0,0,1,0,0,2,0,0,0,5295,12
9009,0,0,0,1,0,0,,,,,110568,
898,0,0,0,1,0,0,2,0,0,0,10758,8
11218,0,1,0,1,0,0,2,2,0,0,115860,20
537,0,1,0,1,0,0,2,0,0,0,1527,5
4046,0,0,0,1,0,1,4,0,0,0,21167,9
2048,1,1,1,1,1,0,4,0,4,0,10237,8
1457,0,1,0,0,1,0,0,0,2,0,12571,48
10587,0,0,0,0,0,0,,2,,,45883,30
10718,1,0,0,0,0,0,,2,,,8246,52
881,0,0,0,0,0,0,0,0,0,0,22164,37
11042,0,0,0,0,0,0,,2,,,39668,52
526,1,1,0,1,0,0,2,0,0,0,5242,5
8405,0,0,0,0,0,0,0,4,0,0,83746,49
1712,0,1,0,1,1,0,2,0,2,0,21354,12
11482,1,1,0,1,1,1,2,2,2,2,42959,12
1615,1,1,0,1,1,1,2,0,2,0,7029,12
1767,0,0,0,1,0,1,2,0,0,0,2717,9
1313,0,0,0,0,1,0,0,0,4,0,25989,48
1723,0,1,1,0,0,0,0,0,0,0,22508,38
10725,1,0,0,0,0,0,,,,2,8247,39
1875,0,0,0,0,1,0,0,0,2,0,1247,9
1926,0,1,0,0,1,0,0,0,2,0,5255,5
11223,0,0,0,0,0,0,,2,,2,43218,8
1956,0,1,0,1,0,0,2,0,0,0,21770,9
4779,0,0,0,0,0,1,0,0,0,0,3714,
2009,1,1,0,1,0,0,4,0,0,0,4683,12
1970,0,0,0,1,0,0,4,0,0,0,3244,5
1935,0,0,0,1,0,0,2,0,0,0,6459,9
1851,1,1,1,1,1,0,4,0,4,0,6991,9
1881,0,1,1,0,0,0,0,0,0,0,23117,38
1882,1,0,0,1,0,0,2,0,0,0,4932,5
11222,0,0,0,0,0,0,,2,,,43218,52
2164,0,0,0,0,0,0,,3,,,3447,99
2007,0,1,0,0,1,0,0,0,4,0,51626,5
11229,0,0,0,0,0,0,0,2,0,0,58120,52
11485,0,0,0,0,0,0,,2,,,1780,20
10736,1,0,0,0,0,0,,2,,,3846,8
4165,0,0,0,1,0,0,0,0,0,0,45459,
1635,1,1,0,0,1,0,0,0,2,0,4832,5
2361,0,0,0,0,0,0,,,,,68452,37
11213,1,1,0,1,0,0,4,4,,,132847,5
11217,1,1,0,1,0,0,4,4,0,0,115859,5
10737,1,0,0,0,0,0,,2,,,3846,9
8806,0,0,0,0,0,0,,4,,,81484,7
11220,0,0,0,0,0,0,,2,,,73042,8
11379,0,0,0,0,0,0,,,,,13897,52
11494,0,0,0,0,0,0,,2,,,1778,24
1909,0,0,0,1,0,0,2,0,0,0,5237,5
11219,0,0,0,0,0,0,,2,,,73042,52
11380,0,0,0,0,0,0,,,,,125365,82
11496,0,0,0,0,0,0,,4,,,6598,24
11224,0,0,0,0,0,0,,2,,,98239,52
11378,0,0,0,0,0,0,,,,,112234,52
11497,0,0,0,0,0,0,,4,,,6599,24
11498,0,1,1,1,0,0,4,4,,,77336,24
744,0,0,0,1,0,0,2,0,0,0,20158,12
745,0,0,0,0,1,0,0,0,6,0,7483,9
4062,0,1,0,1,1,0,3,0,3,0,11194,37
4117,0,0,0,1,0,0,0,0,0,0,39777,
4211,0,0,0,1,0,0,2,0,0,0,19950,48
4722,0,0,0,1,1,0,0,0,0,0,3003,
11503,0,0,0,0,0,0,,4,,,47737,4
8763,0,0,0,0,0,0,,,,,103271,6
5016,0,0,0,0,0,0,0,0,0,0,56030,130
4846,0,0,0,1,1,1,0,0,0,0,6976,
4796,0,1,0,1,0,0,2,0,0,0,7343,41
4785,1,1,0,1,0,0,2,0,0,0,5159,5
11620,0,0,0,1,0,0,,,,,28403,7
719,0,1,0,1,0,0,4,0,0,0,51646,9
4947,0,0,0,0,0,0,0,0,0,0,70397,126
4970,0,0,0,0,0,0,0,0,0,0,54976,65
1784,0,0,0,1,1,0,2,0,2,0,5232,12
4787,1,1,1,0,1,0,0,0,4,0,7213,12
1932,0,0,0,1,1,0,4,0,6,0,953,12
5033,0,0,0,1,0,0,0,0,0,0,39579,52
4952,0,0,0,0,0,0,0,0,0,0,70809,126
601,1,1,0,1,1,0,2,0,2,0,21174,9
